dataset_id,window_id,alpha_name,alpha_value,profile_objective,note,source_commit
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_wgs,0.1,12.335626571439054,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_wgs,0.2,12.355297570688842,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_wgs,0.5,12.367239587426456,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_wgs,1.0,12.37123973366211,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_wgs,1.5,12.372579006170575,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_wgs,2.0,12.373252379558572,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alpha_char_oxidation,0.05,11.600272842674778,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alpha_char_oxidation,0.1,11.818351123104367,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alpha_char_oxidation,0.2,11.818351123104367,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alpha_char_oxidation,0.5,11.818351123104367,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alpha_char_oxidation,1.0,11.818351123104367,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alpha_char_oxidation,1.5,11.818351123104367,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alpha_char_oxidation,2.0,11.818351123104367,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alpha_char_oxidation,0.05,11.652360978586426,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alpha_char_oxidation,0.1,11.668493832617047,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alpha_char_oxidation,0.2,11.668493832617047,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alpha_char_oxidation,0.5,11.668493832617047,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alpha_char_oxidation,1.0,11.668493832617047,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alpha_char_oxidation,1.5,11.668493832617047,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alpha_char_oxidation,2.0,11.668493832617047,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,alpha_char_oxidation,0.05,12.095962867589476,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,alpha_char_oxidation,0.1,12.095962867589476,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,alpha_char_oxidation,0.2,12.095962867589476,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,alpha_char_oxidation,0.5,12.095962867589476,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,alpha_char_oxidation,1.0,12.095962867589476,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,alpha_char_oxidation,1.5,12.095962867589476,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,alpha_char_oxidation,2.0,12.095962867589476,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_char_oxidation,0.05,12.289121265980533,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_char_oxidation,0.1,12.355297570688842,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_char_oxidation,0.2,12.355297570688842,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_char_oxidation,0.5,12.355297570688842,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_char_oxidation,1.0,12.355297570688842,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_char_oxidation,1.5,12.355297570688842,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03N_013__W001,alpha_char_oxidation,2.0,12.355297570688842,"diagnostic profile, not a likelihood confidence interval",a2955d2a2f6e850b88d8b206f465d810e1ad86ab
