dataset_id,split_role,method,target,block_length,is_primary_block_length,delta_rmse,ci_low,ci_high,n_windows,n_bootstrap,seed,source_commit
R52-C-75,test,global_bounded_wgs_scalar,CO_dry_vol_pct,8,True,-0.29406425093211297,-0.30687143481371215,-0.2811590880179929,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,CO_dry_vol_pct,9,False,-0.29406425093211297,-0.30673208623457526,-0.28125245992232095,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,CO2_dry_vol_pct,7,False,0.23168345937062362,0.22216558432867664,0.2402479394054624,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,CO2_dry_vol_pct,8,True,0.23168345937062362,0.22281585705054052,0.23996302966361419,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,CO2_dry_vol_pct,9,False,0.23168345937062362,0.2228998030972953,0.23993390508324808,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,H2_dry_vol_pct,7,False,1.7763568394002505e-14,0.0,3.552713678800501e-14,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,H2_dry_vol_pct,8,True,1.7763568394002505e-14,0.0,2.842170943040401e-14,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,H2_dry_vol_pct,9,False,1.7763568394002505e-14,0.0,2.842170943040401e-14,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,H2_CO_ratio,7,False,2.220446049250313e-16,0.0,4.440892098500626e-16,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,H2_CO_ratio,8,True,2.220446049250313e-16,0.0,3.885780586188048e-16,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,global_bounded_wgs_scalar,H2_CO_ratio,9,False,2.220446049250313e-16,0.0,3.885780586188048e-16,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,7,False,-0.1911143135957758,-0.19845787624847339,-0.18397348595545465,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,8,True,-0.1911143135957758,-0.1983394770444285,-0.18374258731046175,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,9,False,-0.1911143135957758,-0.1988521934714645,-0.18388602465543455,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,7,False,0.12401545726676755,0.11774408280016942,0.13033983581924105,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,8,True,0.12401545726676755,0.11768563744045787,0.1303122147812525,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,9,False,0.12401545726676755,0.11780838045583315,0.13059186759149985,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,7,False,1.0658141036401503e-14,0.0,1.7763568394002505e-14,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,8,True,1.0658141036401503e-14,3.552713678800501e-15,1.7763568394002505e-14,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,9,False,1.0658141036401503e-14,3.552713678800501e-15,1.7763568394002505e-14,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,H2_CO_ratio,7,False,1.6653345369377348e-16,0.0,2.220446049250313e-16,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,H2_CO_ratio,8,True,1.6653345369377348e-16,0.0,2.220446049250313e-16,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,train,low_capacity_alpha_wgs_xt,H2_CO_ratio,9,False,1.6653345369377348e-16,0.0,2.220446049250313e-16,81,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,7,False,-0.2271014907058273,-0.24553880490700014,-0.2090228435073294,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,8,True,-0.2271014907058273,-0.24651086773439584,-0.20829385496571043,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,9,False,-0.2271014907058273,-0.24737291747574516,-0.20712863242492027,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,7,False,0.1752161794073539,0.16216579578172263,0.18742008096989715,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,8,True,0.1752161794073539,0.1617587203226472,0.1885421581071672,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,9,False,0.1752161794073539,0.16064447469565482,0.1889101747004608,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,7,False,3.197442310920451e-14,7.105427357601002e-15,6.039613253960852e-14,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,8,True,3.197442310920451e-14,7.105427357601002e-15,6.039613253960852e-14,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,9,False,3.197442310920451e-14,7.105427357601002e-15,6.039613253960852e-14,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,H2_CO_ratio,7,False,3.3306690738754696e-16,1.0963452368173429e-16,7.216449660063518e-16,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,H2_CO_ratio,8,True,3.3306690738754696e-16,5.551115123125783e-17,7.216449660063518e-16,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,validation,low_capacity_alpha_wgs_xt,H2_CO_ratio,9,False,3.3306690738754696e-16,5.551115123125783e-17,7.216449660063518e-16,44,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,7,False,-0.33867105882229964,-0.3586627039318592,-0.317711255411929,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,8,True,-0.33867105882229964,-0.358006218813171,-0.3193520135887343,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,CO_dry_vol_pct,9,False,-0.33867105882229964,-0.3574886304035516,-0.31974730702560716,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,7,False,0.2677013480573276,0.2523738284826864,0.2814456050884858,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,8,True,0.2677013480573276,0.25366973293596295,0.28094496921780276,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,CO2_dry_vol_pct,9,False,0.2677013480573276,0.25405334799794854,0.28068044304078743,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,7,False,1.7763568394002505e-14,0.0,3.907985046680551e-14,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,8,True,1.7763568394002505e-14,0.0,2.842170943040401e-14,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,H2_dry_vol_pct,9,False,1.7763568394002505e-14,0.0,2.842170943040401e-14,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,H2_CO_ratio,7,False,2.220446049250313e-16,0.0,4.440892098500626e-16,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,H2_CO_ratio,8,True,2.220446049250313e-16,0.0,3.885780586188048e-16,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,test,low_capacity_alpha_wgs_xt,H2_CO_ratio,9,False,2.220446049250313e-16,0.0,3.885780586188048e-16,17,2000,20260826,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
