dataset_id,window_id,phase,parameter,output,parameter_base_value,parameter_step,output_base_value,fd_grad,ift_or_ad_grad,abs_error,rel_error,residual_max_abs,status,source_commit
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,coal_mass_flow,CO_mol_s,20.370455021971008,0.020370455021971007,1535.282195797445,67.74085044135532,67.74077171727275,7.87240825701474e-05,1.162136023643525e-06,18.667066364905743,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,coal_mass_flow,H2_mol_s,20.370455021971008,0.020370455021971007,631.876922588281,36.75831818491983,36.75830260689727,1.5578022562579008e-05,4.237958462683399e-07,18.667066364905743,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P2__huayi_sy3sy2_phase2_wgs1__plateau_2022-10-03D_011__W001,2,coal_mass_flow,CO2_mol_s,20.370455021971008,0.020370455021971007,219.47701185165715,-6.032437233989651,-6.0325725173145415,0.00013528332489087802,2.242547843438121e-05,18.667066364905743,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,WGS_CatalyticFactor,CO_mol_s,0.2,0.0002,1522.37054840002,-310.2963711052098,-310.2963303930283,4.0712181487378984e-05,1.3120418180325745e-07,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,WGS_CatalyticFactor,H2_mol_s,0.2,0.0002,632.8085116601351,400.54225988797043,400.542066473164,0.00019341480640377995,4.828823966237097e-07,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,WGS_CatalyticFactor,CO2_mol_s,0.2,0.0002,211.76234922326006,291.67188501929786,291.67185457917253,3.0440125328823342e-05,1.0436427675162909e-07,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,oxygen_flow,CO_mol_s,498.13600170528326,0.49813600170528327,1522.37054840002,0.0260992852911786,0.026087601114882758,1.1684176295840426e-05,0.00044768184896578787,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,oxygen_flow,H2_mol_s,498.13600170528326,0.49813600170528327,632.8085116601351,-0.5625159595126644,-0.5625348825399956,1.8923027331196884e-05,3.363885141798558e-05,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,oxygen_flow,CO2_mol_s,498.13600170528326,0.49813600170528327,211.76234922326006,0.2272607771731525,0.2272788314701648,1.8054297012320975e-05,7.943677330412087e-05,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,coal_mass_flow,CO_mol_s,20.14213931116375,0.02014213931116375,1522.37054840002,63.58075742830912,63.58062284481512,0.000134583494002527,2.1167331036324544e-06,18.521222006251488,pass,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
