dataset_id,window_id,phase,split_role,configuration,N_cells,selection_reason,o_c_ratio,cell0_cost,cell0_max_abs_scaled_residual,cell0_max_abs_unscaled_residual,cell0_dominant_scaled_name,cell0_dominant_unscaled_name,poor_convergence_count,execution_status,residual_quality_status,wall_time_s,source_commit
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,reference,1,phase3_median_oc,0.909272650702855,0.014764256779412599,0.12898311672182464,3882.0382869541645,gas_H2,energy,1,completed,poor,3.396268988999992,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,refined_first_cv,3,phase3_median_oc,0.909272650702855,0.02068242286789959,0.14792652917750007,5256.594178289175,gas_H2,energy,2,completed,poor,1.9539886309999872,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,alt_cell0_init,1,phase3_median_oc,0.909272650702855,0.014764256779424619,0.12898306778447105,3882.048548042774,gas_H2,energy,1,completed,poor,11.20535205600001,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_014__W004,3,validation,tighter_tol,1,phase3_median_oc,0.909272650702855,0.014764256779399645,0.12898316119700462,3882.025484442711,gas_H2,energy,1,completed,poor,11.132579903000007,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_015__W001,3,validation,reference,1,global_high_oc,1.048992167184456,0.008819891962968986,0.10067906726045392,3037.870881944895,gas_H2,energy,1,completed,poor,2.2638361610000004,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_015__W001,3,validation,refined_first_cv,3,global_high_oc,1.048992167184456,0.013446437252383795,0.11991525826486082,4459.378352642059,gas_H2,energy,2,completed,poor,1.9573775180000013,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_015__W001,3,validation,alt_cell0_init,1,global_high_oc,1.048992167184456,0.008819891962964196,0.10067911517225236,3037.8601567447186,gas_H2,energy,1,completed,poor,5.4511484679999995,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P3__huayi_sy3sy2_phase3_wgs1__plateau_2022-10-09D_015__W001,3,validation,tighter_tol,1,global_high_oc,1.048992167184456,0.008819891962963495,0.10067910346105693,3037.8591546714306,gas_H2,energy,1,completed,poor,9.385582440000007,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,test,reference,1,global_median_oc,0.9277160365942164,0.013925062936284666,0.12548348179884522,4032.3273104429245,gas_H2,energy,1,completed,poor,2.199811756999992,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P4__huayi_sy3sy2_phase4_wgs1__plateau_2022-10-10N_006__W001,4,test,refined_first_cv,3,global_median_oc,0.9277160365942164,0.019747447535779693,0.14433656628820254,5504.6362627744675,gas_H2,energy,1,completed,poor,1.9807307620000074,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
