dataset_id,window_id,phase,split_role,method,configuration,N_cells,target,target_value,predicted_value,residual,alpha_wgs,poor_convergence_count,cell0_cost,cell0_max_abs_scaled_residual,cell0_max_abs_unscaled_residual,execution_status,residual_quality_status,source_commit,reference_predicted_value,delta_vs_reference,relative_delta
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_007__W002,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4604704475327328,4.038160077759527e-18,-0.4604704475327328,1.0,1,0.0077245584903662635,0.09624448215909652,2821.2565936893225,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,4.038160077759527e-18,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_007__W002,1,train,fixed_physics,reference,1,dry_syngas_flow,117737.07092232766,53207.04858299819,-64530.02233932947,1.0,1,0.0077245584903662635,0.09624448215909652,2821.2565936893225,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,53207.04858299819,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_007__W003,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.46766286266667,78.46785728846906,17.00019442580239,1.0,1,0.0078121610118502376,0.09677343804030367,2836.418948084116,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,78.46785728846906,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_007__W003,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.147541232,3.446763587963039e-17,-28.147541232,1.0,1,0.0078121610118502376,0.09677343804030367,2836.418948084116,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,3.446763587963039e-17,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_007__W003,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.667996970933332,18.35526508408379,8.687268113150457,1.0,1,0.0078121610118502376,0.09677343804030367,2836.418948084116,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,18.35526508408379,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_007__W003,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4579281692698128,4.392580232300475e-19,-0.4579281692698128,1.0,1,0.0078121610118502376,0.09677343804030367,2836.418948084116,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,4.392580232300475e-19,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_007__W003,1,train,fixed_physics,reference,1,dry_syngas_flow,119649.07303922584,53095.243747988825,-66553.82929123702,1.0,1,0.0078121610118502376,0.09677343804030367,2836.418948084116,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,53095.243747988825,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W001,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.399839148000005,78.96434122837134,17.564502080371334,1.0,1,0.0068136890758727095,0.09055066073356426,2646.74223408103,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,78.96434122837134,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W001,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.088573688000004,8.410364333429529e-18,-28.088573688000004,1.0,1,0.0068136890758727095,0.09055066073356426,2646.74223408103,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,8.410364333429529e-18,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W001,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.771940580000004,18.063165491897216,8.291224911897212,1.0,1,0.0068136890758727095,0.09055066073356426,2646.74223408103,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,18.063165491897216,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W001,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4574752757984383,1.0650838343735518e-19,-0.4574752757984383,1.0,1,0.0068136890758727095,0.09055066073356426,2646.74223408103,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,1.0650838343735518e-19,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W001,1,train,fixed_physics,reference,1,dry_syngas_flow,119579.50490662309,54203.28063635919,-65376.2242702639,1.0,1,0.0068136890758727095,0.09055066073356426,2646.74223408103,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,54203.28063635919,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W002,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.489480728,78.98079719725777,17.491316469257775,1.0,1,0.006781800799773893,0.0903444419937988,2641.4747062325478,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,78.98079719725777,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W002,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.02526572666667,1.808271636301202e-17,-28.02526572666667,1.0,1,0.006781800799773893,0.0903444419937988,2641.4747062325478,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,1.808271636301202e-17,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W002,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.732724354933332,18.053402648976956,8.320678294043624,1.0,1,0.006781800799773893,0.0903444419937988,2641.4747062325478,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,18.053402648976956,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W002,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4557767085779336,2.2895079569594233e-19,-0.4557767085779336,1.0,1,0.006781800799773893,0.0903444419937988,2641.4747062325478,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,2.2895079569594233e-19,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W002,1,train,fixed_physics,reference,1,dry_syngas_flow,120577.56866933992,54261.127544567826,-66316.4411247721,1.0,1,0.006781800799773893,0.0903444419937988,2641.4747062325478,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,54261.127544567826,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,fixed_physics,reference,1,CO_dry_vol_pct,61.724460024,79.02782167007881,17.303361646078805,1.0,1,0.006690877506200573,0.08975377957482694,2627.909765034914,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,79.02782167007881,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,fixed_physics,reference,1,H2_dry_vol_pct,28.168928183999995,5.334279488120904e-15,-28.168928183999988,1.0,1,0.006690877506200573,0.08975377957482694,2627.909765034914,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,5.334279488120904e-15,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,fixed_physics,reference,1,CO2_dry_vol_pct,9.391769280266663,18.025473303903386,8.633704023636723,1.0,1,0.006690877506200573,0.08975377957482694,2627.909765034914,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,18.025473303903386,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,fixed_physics,reference,1,H2_CO_ratio,0.4563724654431634,6.749875392479086e-17,-0.45637246544316334,1.0,1,0.006690877506200573,0.08975377957482694,2627.909765034914,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,6.749875392479086e-17,0.0,0.0
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,1,train,fixed_physics,reference,1,dry_syngas_flow,121695.5001073801,54459.00736767526,-67236.49273970485,1.0,1,0.006690877506200573,0.08975377957482694,2627.909765034914,completed,poor,a2955d2a2f6e850b88d8b206f465d810e1ad86ab,54459.00736767526,0.0,0.0
