dataset_id,window_id,configuration,residual_name,residual_index,scaled_value,unscaled_value,is_dominant_scaled,is_dominant_unscaled,execution_status,source_commit
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,gas_CO2,3,-0.062117616743215184,-38.67542765735192,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,gas_H2S,4,0.005850105707935478,3.642369942015409,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,gas_H2,5,0.07954034588236211,49.523099151257284,True,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,gas_N2,6,5.0902723228239214e-05,0.0003047421266924033,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,gas_H2O,7,0.007654820262614498,4.766014261632392,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,solid_mass,8,0.00033012822907829817,0.005889872678637609,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,carbon_fraction,9,-1.4420739236259093e-13,-1.2168044349891716e-13,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,alt_cell0_init,energy,10,-0.0005744361520565498,-2503.5723366737366,False,True,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_O2,0,0.005578340515814645,3.4731645606965316,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_CH4,1,0.005809646947377628,3.617179666710261,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_CO,2,0.009716496471501015,6.049647041674348,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_CO2,3,-0.06211760552090687,-38.6754206701622,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_H2S,4,0.005850080721370403,3.6423543849779594,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_H2,5,0.0795403570143869,49.52310608223503,True,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_N2,6,5.09027809245175e-05,0.0003047424721058789,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,gas_H2O,7,0.007654833003648823,4.766022194405366,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,solid_mass,8,0.0003301298849534544,0.00588990222138186,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,carbon_fraction,9,0.0,0.0,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__shift_morning_handover_2022-09-28__W001,tighter_tol,energy,10,-0.0005744356739885583,-2503.5702531039715,False,True,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_O2,0,0.0062462684787135325,3.6054157070378174,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_CH4,1,0.006401876537582534,3.695234411036835,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_CO,2,0.011461715237321693,6.615829640858692,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_CO2,3,-0.07082887201507107,-40.88321348100354,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_H2S,4,0.006522351119903029,3.7647736812230876,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_H2,5,0.08975377957482694,51.8068808197849,True,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_N2,6,5.986965046813593e-05,0.0003490277287454546,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,gas_H2O,7,0.007405628662499811,4.274611312539264,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,solid_mass,8,0.00032116220426157694,0.005579681460956998,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,carbon_fraction,9,-2.7999391509816924e-13,-2.362554596402333e-13,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,reference,energy,10,-0.0006503957722029707,-2627.909765034914,False,True,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_O2,0,0.019629819486582645,11.330550350890213,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_CH4,1,0.012728189622644302,7.34685275601362,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_CO,2,0.012118167140399252,6.994740987743057,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_CO2,3,-0.09811540951786409,-56.6333067148295,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_H2S,4,0.011653143090949985,6.7263239291826755,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_H2,5,0.11459735369805493,66.14686839286027,True,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_N2,6,0.00010239378605142192,0.0005969346789855834,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,gas_H2O,7,0.003227287739789901,1.8628264135334687,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,solid_mass,8,0.002268642224497154,0.03941404310222385,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,carbon_fraction,9,2.3820455432824376e-06,2.0099410535934226e-06,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,refined_first_cv,energy,10,-0.0010088712484559897,-4076.322016209364,False,True,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_O2,0,0.006246291349957219,3.605428908574304,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_CH4,1,0.006401867028031213,3.6952289220179404,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_CO,2,0.011461740001705632,6.615843935136809,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_CO2,3,-0.07082883057717758,-40.883189562590076,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_H2S,4,0.006522432847525673,3.7648208553167697,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_H2,5,0.08975379921130272,51.80689215417733,True,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_N2,6,5.986983762064531e-05,0.00034902881980602984,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,gas_H2O,7,0.00740566546275087,4.2746325540538805,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,solid_mass,8,0.00032116847971543484,0.0055797904869665516,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
R52-C-75,R52-C-75__P1__huayi_sy3_phase1_wgs1__plateau_2022-09-28D_008__W003,alt_cell0_init,carbon_fraction,9,1.1578695737142337e-14,9.769962616701378e-15,False,False,completed,a2955d2a2f6e850b88d8b206f465d810e1ad86ab
